           1 -0.170249999      -3.03399992    
         348  -4.80000004E-02  -25.5639992    
         349  -5.15000001E-02  -25.6404991    
         350  -4.10000011E-02  -25.7089996    
         351  -4.17499989E-02  -25.7605000    
         352  -3.37500013E-02  -25.8174992    
         353  -3.99999991E-02  -25.8829994    
         354  -4.60000001E-02  -25.9480000    
         355  -4.12500016E-02  -26.0065002    
         356  -4.17499989E-02  -26.0739994    
         357  -3.87500003E-02  -26.1389999    
         358  -2.19999999E-02  -26.2145004    
         359  -5.29999994E-02  -26.2735004    
         360  -5.05000018E-02  -26.3309994    
         361  -5.00000007E-02  -26.4085007    
         362  -3.90000008E-02  -26.4825001    
         363  -4.50000018E-02  -26.5489998    
         364  -2.97500007E-02  -26.6189995    
         365  -4.50000018E-02  -26.6784992    
         366  -4.14999984E-02  -26.7434998    
         367  -5.24999984E-02  -26.8005009    
         368  -5.05000018E-02  -26.8670006    
         369  -6.72499985E-02  -26.9244995    
         370  -7.47499987E-02  -26.9880009    
         371  -5.64999990E-02  -27.0429993    
         372  -5.40000014E-02  -27.1089993    
         373  -4.02499996E-02  -27.1690006    
         374  -4.10000011E-02  -27.2275009    
         375  -4.07500006E-02  -27.3069992    
         376  -4.52499986E-02  -27.3789997    
         377  -4.42500003E-02  -27.4349995    
         378  -4.94999997E-02  -27.4974995    
         379  -5.02500013E-02  -27.5664997    
         380  -5.42499982E-02  -27.6329994    
         381  -4.74999994E-02  -27.7024994    
         382  -6.54999986E-02  -27.7600002    
         383  -6.65000007E-02  -27.8269997    
         384  -6.89999983E-02  -27.9029999    
         385  -5.05000018E-02  -27.9669991    
         386  -4.62500006E-02  -28.0375004    
         387  -6.80000037E-02  -28.1075001    
         388  -7.37499967E-02  -28.1634998    
         389  -6.72499985E-02  -28.2404995    
         390  -7.07499981E-02  -28.2985001    
         391  -5.84999993E-02  -28.3735008    
         392  -6.22499995E-02  -28.4239998    
         393  -5.22500016E-02  -28.4874992    
         394  -4.69999984E-02  -28.5585003    
         395  -7.17500001E-02  -28.6184998    
         396  -8.10000002E-02  -28.6844997    
         397  -5.17500006E-02  -28.7485008    
         398  -7.80000016E-02  -28.8139992    
         399  -7.34999999E-02  -28.8929996    
         400  -6.97500035E-02  -28.9610004    
         401  -6.84999973E-02  -29.0249996    
         402  -6.65000007E-02  -29.0844994    
         403  -6.12500012E-02  -29.1350002    
         404  -8.52499977E-02  -29.2035007    
         405  -6.54999986E-02  -29.2724991    
         406  -6.57500029E-02  -29.3435001    
         407  -7.27500021E-02  -29.4029999    
         408  -7.00000003E-02  -29.4799995    
         409  -6.49999976E-02  -29.5394993    
         410  -5.64999990E-02  -29.5984993    
         411  -7.47499987E-02  -29.6544991    
         412  -6.07500002E-02  -29.7234993    
         413  -7.37499967E-02  -29.7915001    
         414  -7.29999989E-02  -29.8635006    
         415  -4.97500002E-02  -29.9279995    
         416  -5.77500015E-02  -29.9969997    
         417  -7.07499981E-02  -30.0625000    
         418  -4.60000001E-02  -30.1270008    
         419  -5.90000004E-02  -30.1889992    
         420  -7.99999982E-02  -30.2630005    
         421  -4.89999987E-02  -30.3250008    
         422  -5.97499982E-02  -30.3894997    
         423  -7.62500018E-02  -30.4454994    
         424  -6.10000007E-02  -30.5009995    
         425  -6.49999976E-02  -30.5559998    
         426  -6.44999966E-02  -30.6389999    
         427  -7.12499991E-02  -30.6959991    
         428  -5.15000001E-02  -30.7695007    
         429  -5.95000014E-02  -30.8430004    
         430  -7.12499991E-02  -30.9090004    
         431  -7.64999986E-02  -30.9799995    
         432  -6.97500035E-02  -31.0485001    
         433  -5.64999990E-02  -31.1089993    
         434  -7.85000026E-02  -31.1795006    
         435  -6.97500035E-02  -31.2479992    
         436  -7.02499971E-02  -31.3040009    
         437  -6.97500035E-02  -31.3694992    
         438  -6.44999966E-02  -31.4249992    
         439  -4.54999991E-02  -31.4909992    
         440  -7.05000013E-02  -31.5594997    
         441  -6.54999986E-02  -31.6154995    
         442  -5.84999993E-02  -31.6679993    
         443  -6.82500005E-02  -31.7205009    
         444  -4.02499996E-02  -31.7959995    
