 Iterations, Maximum_Neighbours
       29000 ,          93
       29040 ,          93
       29080 ,          92
       29120 ,          90
       29160 ,          91
       29200 ,          92
       29240 ,          92
       29280 ,          92
       29320 ,          90
       29360 ,          90
       29400 ,          88
       29440 ,          91
       29480 ,          89
       29520 ,          93
       29560 ,          93
       29600 ,          89
       29640 ,          89
       29680 ,          88
       29720 ,          88
       29760 ,          89
       29800 ,          90
       29840 ,          87
       29880 ,          89
       29920 ,          89
       29960 ,          90
       30000 ,          91
       30040 ,          92
       30080 ,          93
       30120 ,          96
       30160 ,          95
       30200 ,          97
       30240 ,          98
       30280 ,         100
       30320 ,         106
       30360 ,         105
       30400 ,         106
       30440 ,         100
       30480 ,          99
       30520 ,          99
       30560 ,         100
       30600 ,         103
       30640 ,         104
       30680 ,         108
       30720 ,         110
       30760 ,         110
       30800 ,         112
       30840 ,         107
       30880 ,         106
       30920 ,         109
       30960 ,         105
       31000 ,         103
       31040 ,         100
       31080 ,         103
       31120 ,         101
       31160 ,          99
       31200 ,         101
       31240 ,          99
       31280 ,          96
       31320 ,          97
       31360 ,          98
       31400 ,          98
       31440 ,          99
       31480 ,          95
       31520 ,          95
       31560 ,          94
       31600 ,          92
       31640 ,          92
       31680 ,          91
       31720 ,          91
       31760 ,          90
       31800 ,          92
       31840 ,          95
       31880 ,          98
       31920 ,          95
       31960 ,          95
       32000 ,          98
       32040 ,          95
       32080 ,          96
       32120 ,          92
       32160 ,          92
       32200 ,          92
       32240 ,          94
       32280 ,          95
       32320 ,          93
       32360 ,          93
       32400 ,          89
       32440 ,          83
       32480 ,          81
       32520 ,          82
       32560 ,          79
       32600 ,          81
       32640 ,          80
       32680 ,          84
       32720 ,          81
       32760 ,          81
       32800 ,          83
       32840 ,          84
       32880 ,          85
       32920 ,          87
       32960 ,          85
       33000 ,          85
       33040 ,          89
       33080 ,          85
       33120 ,          84
       33160 ,          86
       33200 ,          83
       33240 ,          83
       33280 ,          82
       33320 ,          83
       33360 ,          83
       33400 ,          83
       33440 ,          84
       33480 ,          88
       33520 ,          89
       33560 ,          90
       33600 ,          90
       33640 ,          87
       33680 ,          90
       33720 ,          88
       33760 ,          86
       33800 ,          87
       33840 ,          86
       33880 ,          87
       33920 ,          87
       33960 ,          85
       34000 ,          83
       34040 ,          82
       34080 ,          84
       34120 ,          83
       34160 ,          83
       34200 ,          82
       34240 ,          82
       34280 ,          83
       34320 ,          80
       34360 ,          84
       34400 ,          86
       34440 ,          88
       34480 ,          86
       34520 ,          84
       34560 ,          83
       34600 ,          83
       34640 ,          82
       34680 ,          83
       34720 ,          83
       34760 ,          81
       34800 ,          83
       34840 ,          85
       34880 ,          83
       34920 ,          86
       34960 ,          88
       35000 ,          85
       35040 ,          81
       35080 ,          81
       35120 ,          80
       35160 ,          81
       35200 ,          82
       35240 ,          86
       35280 ,          83
       35320 ,          81
       35360 ,          82
       35400 ,          81
       35440 ,          81
       35480 ,          82
       35520 ,          81
       35560 ,          83
       35600 ,          87
       35640 ,          87
       35680 ,          83
       35720 ,          84
       35760 ,          87
       35800 ,          88
       35840 ,          85
       35880 ,          82
       35920 ,          83
       35960 ,          82
       36000 ,          80
       36040 ,          83
       36080 ,          83
       36120 ,          83
       36160 ,          87
       36200 ,          86
       36240 ,          86
       36280 ,          87
       36320 ,          89
       36360 ,          92
       36400 ,          92
       36440 ,          94
       36480 ,          94
       36520 ,          95
       36560 ,          89
       36600 ,          87
       36640 ,          87
       36680 ,          87
       36720 ,          87
       36760 ,          87
       36800 ,          87
       36840 ,          88
       36880 ,          90
       36920 ,          88
       36960 ,          86
       37000 ,          91
       37040 ,          88
       37080 ,          86
       37120 ,          88
       37160 ,          89
       37200 ,          92
       37240 ,          92
       37280 ,          90
       37320 ,          90
       37360 ,          91
       37400 ,          91
       37440 ,          89
       37480 ,          90
       37520 ,          91
       37560 ,          91
       37600 ,          92
       37640 ,          94
       37680 ,          93
       37720 ,          89
       37760 ,          88
       37800 ,          86
       37840 ,          86
       37880 ,          87
       37920 ,          88
       37960 ,          94
       38000 ,          93
       38040 ,          90
       38080 ,          89
       38120 ,          90
       38160 ,          91
       38200 ,          92
       38240 ,          92
       38280 ,          89
       38320 ,          91
       38360 ,          92
       38400 ,          92
       38440 ,          91
       38480 ,          92
       38520 ,          94
       38560 ,          97
       38600 ,          95
       38640 ,          95
       38680 ,         100
       38720 ,          99
       38760 ,         100
       38800 ,         101
       38840 ,          99
       38880 ,          99
